*  d1    d2
   8      8
*
*  ---  Array A[i][j]  ---
*  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
*
   1   1   0   0   1   0   1   0   1   2   1   0   0   1   0   0
   1   1   1   0   0   1   1   0   1   1   0   0   0   1   0   0
   0   0   0   0   1   0   0   0   2   1   0   1   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0
   1   2   1   1   0   0   0   0   1   1   0   0   0   0   0   0
   0   1   1   0   0   1   0   1   0   1   0   1   0   1   0   0
   0   0   1   0   0   0   1   0   1   0   0   0   1   0   0   0
   0   0   0   1   1   0   0   0   0   0   1   0   0   0   0   1
*
*  ---  Array B[i][j]  ---
*  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
*
   1   1   0   0   1   0   1   0   1   2   1   0   0   1   0   0
   1   1   1   0   0   1   1   0   1   1   0   0   0   1   0   0
   0   0   0   0   1   0   0   0   2   1   0   1   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0
   1   2   1   1   0   0   0   0   1   1   0   0   0   0   0   0
   0   1   1   0   0   1   0   1   0   1   0   1   0   1   0   0
   0   0   1   0   0   0   1   0   1   0   0   0   1   0   0   0
   0   0   0   1   1   0   0   0   0   0   1   0   0   0   0   1
